Sirpca,Turkce
Analize,Analizin (genitiv)
Analizu,Analizi (akuzativ)
Ananas,Ananas (meyve)
Ankare,Ankara 'nın / Ankara'dan
Ansambl,Topluluk
Anti-crnogorski,Karadağ karşıtı
Anti-evropski,Avrupa karşıtı
Antibakterial,Antibakteriyel
Antibakterijski,Bakterilere karşı
Antibiotik,Antibiyotik
Antibiotika,Antibiyotik (genitiv)
Antibiotike,Antibiyotikler (akuzativ)
Antifašizam,Antifaşizm
Antifašizma,Anti-faşizm
Antonimi,Zıt anlamlı kelimeler
Aparat,Aparat / Cihaz
Aparat za kafu,Kahve makinesi
Apartman,Apartman
Apartmana,Apartmana / Apartmanın
Apartmane,Apartmanları (akuzativ)
Apartmani,Apartmanlar / Daireler (erkek)
Apartmanima,Apartmanlarda
Apelovao,Çağrıda bulundu (geçmiş)
Apelovati,Çağrıda bulunmak / Ricada bulunmak / Seslenmek (fiil)
Apeluje,Çağrıda bulunuyor
Apelujemo,Sesleniyoruz (biz)
Apeluju,Çağrıda bulunuyorlar / Ricada bulunuyorlar (onlar)
Apliciranja,Başvurunun
Apliciranje,Başvuru işlemi
Aplikacija,Uygulama / Başvuru / Program (kadın)
Aplikacije,Uygulamalar
Aplikacije,Uygulama
Aplikaciji,Uygulama / Aplikasyon (lokativ) (kadın)
Aplikaciju,Uygulamayı / Aplikasyonu / Başvuruyu (akuzativ) (kadın)
Apoteci,Eczanede / Eczaneden
Apoteka,Eczane
Apoteke,Eczaneler / Eczanenin (genitiv) (kadın)
Apoteker,Eczacı (erkek)
Apoterka,Eczacı (kadın)
April,Nisan (ay)
Aprila,Nisan'ın / Nisan ayında (genitiv) (Sırpça)
Aprilu,Nisan'da (dativ)
Aranžiranje,Düzenleme
Aranžmana,Ayarlama
Aranžmani,Paketler
Argentina,Arjantin
Argumenti,Argümanlar
Arheološki,Arkeoloji ile ilgili / Arkeolojik
Arhitekt,Mimar (erkek)
Arhitektа,Mimar (kadın)
Arhitekte,Mimarlar (kadın)
Arhitekture,Mimari
Arhivsko,Yıllandırılmış (şarap)
Arhivskog,Arşiv
Arhivskog vina,Yıllanmış Şarap
Aromama,Aromalar
Aronij,Kuş üzümü
Art,Sanat
Artikle,Ürünleri / Maddeleri / Malları
Asfalta,Asfalt
Asortiman,Çeşitler / Koleksiyon / Ürün yelpazesi / Ürün çeşitliliği
Asortimanom,Ürün çeşitliliği ile (instrumental)
Asortimanu,Ürün yelpazesinde / Ürün yelpazesine (dativ) (lokativ)
Atini,Atına 'da (Lokativ)
Atletičar,Atlet (erkek) (spor)
Atletičarka ,Atlet (kadın) (spor)
Atmosfera,Atmosfer / Ortam
Atmosferi,Atmosfer
Atmosferu,Atmosferi (akuzativ)
Atrakcija,Cazibe
Atraktivnu,Cazip
Atrijumu,Atriyum
Attachment / Dodatak / Doplata,Ek
Austrije / Austrija / Austrijskih,Avusturya
Autentične,Otantik
Autentični,Otantik
Auto,Oto / Araba
Auto-put,Otoyol
Auto-puta,Otoyolun
Autobus,Otobüs
Autobusa,Otobüsler
Autobuse,Otobüsler
Autobuska,Otobüsle ilgili / Otobüsle bağlantılı
Autobuska karta,Otobüs bileti
Autobuska stanica,Otobüs terminali
Autobusom,Otobüsle
Autobusu,Otobüste / Otobüse (erkek)
Autohtona sorta,Endemik üzüm çeşidi (şarap)
Autom,Arabayla
Automobil,Araba
Automobila,Arabanın
Automobili / Auta,Arabalar
Automobilu,Arabaya
Autor,Yazar / Yaratıcı
Autorizovani,Yetkili
Autorizovani prodavac,Yetkili Satıcı
Autorski,Yazara ait
Avantura / Pustolovina,Macera
Avantura je na vrhu,Macera zirvede
Avanture,Maceralar
Avanturističke,Macera dolu / Heyecan verici (çoğul)
Avanturistički,Macera dolu / Heyecan verici / Macera ile ilgili
Avganistana,Afganistan
Avgust,Ağustos (ay)
Avio,Hava / Uçakla ilgili / Havacılık
Avio-kartu,Uçak bileti
Avio-kompanije,Havayolu şirketleri
Avio-prevoznik,Havayolu taşıyıcısı
Avion,Uçak
Aviona,Uçağın (genitiv)
Avionom,Uçakla / Uçak ile (instrumental)
Avionska,Uçakla ilgili
Avionska karta,Uçak bileti
Avionska kompanija,Havayolu şirketi
Avionska linija,Uçuş hattı / Uçak hattı
Avionska nesreća,Uçak kazası
Avto,Oto
Azija,Asya 
Azije,Asya (genitiv)
Azilante,Sığınmacılar
Ažurnosti,Güncelliğin (kadın) (genitiv)
adrese glavnog mjesta poslovanja,ana iş yerinin adresi
Baba,Büyükanne / Anneanne / Babaanne
Babe,Büyükanneye (akuzativ)
Babin,Büyükannenin(genitiv)
Babinu,Büyükanneye ait (akuzativ)
Baca,Atıyor / Fırlatıyor (o)
Bacam,Atıyorum (ben)
Bacati,Atmak / Fırlatmak (fiil)
Bademantil,Bornoz
Badnje,Noel arifesi / Yılbaşı Arifesi
Baguette,Baget
Bajka,Masal
Bajke,Masallar
Bajram,Bayram
Bajram namaz,Bayram namazı
Bajramskim,Bayramlık / Bayrama ait (instrumental) (dativ) 
Baka,Büyükanne
Bakarnim,Bakır
Baklava,Baklava
Bakljadama,Meşalelerle / Meşale gösterileriyle
Bakljadom,Meşalelerle
Baksuz,Geri tepme
Bakterija,Bakteri
Balerinu,Balerin
Baletanke,Bale ayakkabıları
Baletu,Bale
Balkan,Balkan
Balkana,Balkanlar / Balkanların (genitiv)
Balkanu,Balkanlarda (lokativ)
Banaka,Bankaların
Banana,Muz (meyve)
Bananu,Muzu (kadın) (akuzativ)
Banci,Bankaya Bankası (dativ)
Banka,Banka
Bankama,Bankalar (lokativ) / Bankalarla
Bankarskih usluga,Bankacılık hizmetleri
Bankarstvo,Bankacılık
Banke,Bankanın
Bankomat,ATM
Bankomati,ATM 'ler
Banku,Bankayı
Baraci,Kışla
Barrique,Fıçıda olgunlaştırma (şarap)
Barski,Çubuk
Barski sto,Bar masası
Baš,Tam / Çok / Hiç de / Gerçekten / Pek / Tam olarak (zarf)
Baš kao i,Tıpkı ... gibi (karşılaştırma)
Bašta,Bahçe
Baštenski,Bahçeyle ilgili 
Baštenskog,Bahçenin / Bahçeye ait (genitiv) (akuzativ)
Bašti,Bahçeler
Baština,Kültürel miras
Baštine,Kültürel Mirası (genitiv)
Batak,Baget
Bataljon,Tabur
Bataljona,Taburun (Genitiv)
Baterija,Pil / Batarya
Baterije,Piller
Bavi,Uğraşıyor / ilgileniyor (o)
Bavim se,İlgilenmek (ben)
Baviti se,İlgilenmek / Uğraşmak / Başa çıkmak / Meşgul olmak (fiil)
Bazar / Market / Marketa / Pazaru / Pazar,Çarşı / Pazar
Baze,Üsler
Bazen,Yüzme havuzu
Bazične / Osnivanje / Podloga / Osnovna / Osnovu ,Temel
Bazna stanica,Baz istasyonu
Baznih,Baz / Temel (genitiv) (çoğul)
Baznih stanica,Baz istasyonlarının
Baznih stanica,Baz istasyonlarının (genitiv)
Beba,Bebek
Beč,Viyana
Bečićima,Bečići'ye / Bečići'de (lokativ)
Bega / Bijeg,Kaçmak
Bel,Bel
Belgija / Belgije,Belçika
Belija,Daha beyaz
Bend,Müzik grubu
Bendovi,Gruplar (müzik)
Benefit,Yarar / Avantaj
Benefitima,Avantajlar / Faydalar
Benzinski / Benzinska,Benzin
Beograd,Belgrad
Berana,Berane 'nin
Berba,Üzümün toplnadığı yıl (şarapçılık terimi)
Berbe,Nostaljik
Besamel / Bešamelom,Beşamel
Beskompromisna,Uzlaşmaz
Beskrajne,Sonsuz
Beskraju,Sonsuzluk
Besplatan,Ücretsiz
Besplatne,Ücretsiz (çoğul) (kadın) (akuzativ)
Besplatno,Ücretsiz (nötr)
Besprekoran,Kusursuz
Bez,Olmaksızın / -sız / -siz (olumsuzluk eki) (edat)
Bez broja (bb),Numarasız (bina için)
Bez granica,Sınırlar olmadan
Bez naknade	,Ücretsiz
Bez obzira,Dikkate almadan / Bakılmaksızın
Bez sijalica,Ampuller olmadan
Bez žurbe,Acele etmeden
Bezalkoholnih,Alkolsüz
Bezalkoholnih pića,Alkolsüz içecekler
Bezbednosne službe,Güvenlik birimleri
Bezbjedna / Obebjeđen,Güvenli
Bezbjednosnom / Bezbjednost / Bezbjednosti / Sigurnosni / Bezbjednosnih,Güvenlik
Bezbjednost,Güvenlik (kadın)
Bezbjednosti,Güvenliğin (genitiv)
Bezrezervno,Kayıtsız şartsız
Bezvremenski,Zamansız
Bež,Bej (renk)
Bežicne,Kablosuz (kadın) (çoğul)
Bežična,Kablosuz (kadın) (nötr) (çoğul)
Bežični,Kablosuz (erkek)
Bi,Bir şey yapma istei / Eğer / Olursa / Olasılık ifadesi / -se / -sa
Bi se izrazila,Ifade edilebilirdi
Biber,Biber (kadın)
Biberi,Biberler (kadın)
Bibliotečke,Küçük kütüphaneler / küçük kitaplıklar
Bibliotečku,Küçük Kütüphane / Küçük kitaplık
Biblioteka,Kütüphane
Bibliotekar,Kütüphaneci (erkek)
Bibliotekarka,Kütüphaneci (kadın)
Biblioteke,Kütüphaneler
Biblioteku,Kitaplık (kadın) (akuzativ)
Bicikl,Bisiklet (daha yaygın kullanım)
Biciklima,Bisikletlerle
Biciklistička,Bisiklet ile ilgili (kadın)
Biciklistička staza,Bisiklet yolu
Biciklistički,Bisiklet ile ilgili (erkek)
Biciklističkih,Bisiklet (genitiv) (çoğul)
Biciklističko,Bisiklet ile ilgili (nötr)
Biciklo,Bisiklet
Biciklom,Bisikletle
Biče / Biće / Bice / Budu,Olacak
Biće,Olacak (gelecek)
Bićete,Sen olacaksın
Bićete u prilici,Fırsatın olacak
Bife,Büfe
Biftek,Biftek
Bifteka,Bifteğin
Biftekom,Biftekçi
Bih,Isterim / Yapardım (ben) (istek kipi)
Bijela,Beyaz (renk) (kadın) (tekil)
Bijele,Beyaz (renk) (kadın) (çoğul)
Bijele tehnike,Beyaz eşya
Bijeli,Beyaz (renk)
Bijeli luk,Sarımsak (sebze)
Bijeli pasulj,Kuru fasülye
Bijelih,Beyaz (renk) (genitiv)
Bijelo,Beyaz (renk) (nötr)
Bijelo vino,Beyaz şarap
Bijeloj,Beyaz (renk) (nötr) (kadın) (dativ)
Bijelom polje,Beyaz alana / Beyaz tarlaya
Bijelu,Beyaz (kadın) (tekil) (akuzativ)
Bila,Olmuştur
Bila sam,Bulundum (geçmiş)
Bilateralni,İkili / Çift taraflı
Bilateralnih,İkili / Çift taraflı (genitiv) (çoğul)
Bilateralnih,İkili / İki taraflı (erkek) (genitiv) (çoğul)
Bilateralnih odnosa,İkili ilşikiler
Bile / Bilo,Vardı
Biletarnicama,Bilet gişeleri
Bili,Vardı (geçmiş)
Bilo gdje,Herhangi bir yer
Bilo kakvih,Herhangi bir
Bilješke,Notlar
Biljke,Bitkiler
Biljnom,Bitkisel
Bio,Öyleydi
Biografija,Özgeçmiş
Biografije,Özgeçmişler
Bioskop,Sinema
Bioskopima,Sinemalar
Bioskopu,Sinemada
Birača,Seçmenler
Biram,Seçiyorum (ben)
Biramo,Seciyoruz (biz)
Biraš,Sen seç
Birati,Seçmek (fiil)
Biro,Büro / Ofis
Biroa,Büronun / Ofisin (genitiv)
Bismo,Yapalım (biz)
Biste,Yapar mısın
Bitan,Önemli / Esaslı (erkek)
Biti,Olmak (fiil)
Biti prepoznata,Tanınmak
Biti u mogućnosti,İmkanı olmak / Gücü yetmek
Bitka,Savaş
Bitna,Önemli (kadın)
Bitno,Önemli (nötr)
Bitnom,Esas itibarıyla / Temel olarak
Bivša,Eski / önceki ilişki (kadın)
Bivše,Eski / Önceki ilişki (çoğul) (kadın) 
Bivši,eski / önceki (erkek)
Bivšim,Eski (dativ) (instrumental)
Bivšoj,Eski (dativ) (kadın)
Bježati,Kaçmak (fiil)
Blag,Hafif
Blagajna,Gişe
Blagom,Hazine
Blagoslovljenom,Kutsanmış
Blagostanje,Refah
Blagovremeno,Zamanında
Blanc,Beyaz (renk) (Fransızca alıntılarda kullanılır)
Blefirala,Blöf yaptı (o) (geçmiş)
Blefirati,Blöf yapmak
Blendere,Karıştırıcı
Bliskost,Yakınlık (kadın)
Blista,Parlıyor
Blistati,Parlamak
Blitva,Pazı (sebze)
Blizanac,İkiz erkek
Blizina,Yakınlık
Blizini,Yakınında / Civarında / Yakınlarda / Çevrede (edat)
Blizinu,Yakınlık
Bliznakinje,İkizler
Blizu,Yakın / Yakınında / Civarında / Yakında / Yaklaşık (edat)
Bližiti se,Yaklaşmak (fiil)
Blokada,Blokaj / Abluka / Tıkanıklık
Blokadama,Blokajlarla (instrumental)
Blokadu,Blokaj (akuzativ)
Blokirao,Kesti / Engelledi (geçmiş)
Blokirati,Engllemek / Bloke etmek (fiil)
Blokova,Bloklar
Bloku,Bloğa / blokta (dativ) (genitiv)
Boğuk,Prigušena
Bob staza,Kızak pisti
Boca,Şişe
Boci,Şişede (lokativ)
Bocu,Şişe (akuzativ) (kadın)
Bog,Tanrı
Bogat,Zengin
Bogate,Zengin (kadın) (akuzativ) (çoğul)
Bogatija,Daha zengin
Bogatu,Zengin (kadın) (akuzativ) (tekil)
Boja,Renk
Bojama / Boje,Renkler
Bojati se,Korkmak (fiil)
Boji,Renkte
Bojler,Su ısıtıcısı
Bokovi,Basenler
Boku,Taraf
Bol,Ağrı
Bole,Ağrıyorlar / Acıtıyorlar
Bolestan,Hasta
Bolestan sam,Hastayım (erkek)
Bolestna sam,Hastayım (kadın)
Boleti,Ağrımak / Acımak (fiil)
Boli,Acıyor / Ağrıyor (o)
Boli me grlo,Boğazım ağrıyor
Bolnica,Hastane
Bolnice,Hastaneler / Hastanenin (kadın)
Bolonjeze,Bolonez
Bolova,Ağrılar (genitiv)
Bolu,Ağrıya (dativ)
Bolje,Daha iyi (zarf)
Bolji / Boljim / Boljoj / Bolje / Bolju,Daha iyi
Boljima,Daha iyi olanlar
Bomba,Bomba
Bombacima,Bombalar
Bomboni,Şekerler
Boravak,Kalış / Konaklama / İkamet / Oturma(erkek)
Borave,Kalıyorlar
Boraviće,Bulunacak (gelecek)
Boravišna,Konut
Boravite,Kalıyorsunuz / Bulunuyorsunuz
Boraviti,Kalmak / Bulunmak / İkamet etmek (fiil)
Boravka,Kalış / Ziyaret (süre) / Konaklama
Borba,Kavga
Borcu,Savaşçı
Bording,Biniş
Bording karte,Biniş kartı
Bording kartu,Biniş kartını (akuzativ)
Borimo,Kavga ediyoruz / Mücadele ediyoruz (biz)
Boriti se,Mücadele etmek / savaşmak (fiil)
Borovnice,Yaban mersini
Bosanac,Boşnak
Bosanski,Boşnakça
Bosne i Hercegovine,Bosna Ve Hersek
Bosne i Hercegovine Sarajevu,Bosna Hersek'ten Saraybosna'ya
Božić,Noel
Božića,Noel'in
Božićne,Noel ile ilgili (kadın) (çoğul)
Bračna soba,Ebeveyn Yatak odası
Bračne obaveze,Evlilikle ilgili sorumluluklar 
Bračni,Evlilile ilgili
Bračni krevet,Çift ​​kişilik yatak
Bračni par,Evli çift
Bračni život,Evlilik hayatı
Brada,Sakal / Çene
Bradu,Sakallı
Brak,Evlilik
Braniti,Savunmak / Korumak
Braon,Kahverengi (renk)
Braš,Fırçalamak
Brašna,Unun (genitiv) / Unu (akuztiv)
Brašno,Un
Brat,Erkek kardeş (nominativ)
Brata,Erkek kardeşi / Kardeşimi (akuzativ) / kardeşin (genitiv)
Bratanić,Yeğen / Kardeş oğlu (erkek)
Bratanići,Yeğenler (erkek)
Bratom,Erkek kardeşiyle
Bratovi,Kardeşler
Brazilska,Brezilya
Brda,Tepeler
Brdo,Tepe / Yükselti
Brejk,Kırmak
Brend,Marka (erkek)
Brend kafe,Kahve markası
Brenda,Markanın (genitiv)
Breskva,Şeftali (meyve) (kadın)
Breskve,Şeftaliler
Brigu,Endişe / kaygı ifadesi
Brijač,Berber
Brijati se,Tıraş olmak (fiil)
Brije se,Tıraş oluyor (o)
Brijem,Tıraş oluyorum (ben)
Brine,Endişeler
Brinem,Endişeleniyorum / Kaygılanıyorum (ben)
Brinemo,Önemsiyoruz
Brini / Brinite,Endişelenmek
Brinimo,Özen gösterelim (biz) 
Brinuti,İlgilenmek / Özen göstermek (fiil)
Brinuti se,endişelenmek (fiil)
Brisanje,Silme / Temizleme
Brisanje zapisa,Kayıt silme
Brisati,Silmek (fiil)
Brisel,Brüksel
Britanska,İngiliz / Britanya ile ilgili (kadın)
Brkove,Bıyıklar (çoğul)
Brkovi,Bıyıklar
Brod,Gemi / Tekne
Brodom,Gemiyle
Brodovi,Gemiler / Tekneler
Broj,Sayı / Numara / Beden / Ayakkabı numarası
Broj dokumenta,Belge sayısı (numarası)
Broj naloga,Sipariş numarası
Broja,Sayıyı / Sayının
Brojati,Saymak (fiil)
Brojem,Sayıyla / Numarayla yapılmak (erkek) (instrumental)
Brojeve,Sayıları (çoğul) (erkek) (akuzativ)
Brojevi,Sayılar (çoğul)
Brojne,Birçok / Çok sayıda (kadın) (çoğul)
Brojni,Birçok / Sayısız / Çok sayıda
Brojnih,Çok sayıda / Sayısız (erkek) (genitiv) (çoğul)
Brojnim,Birçok / Çok sayıda
Broju,Numaraya / Numaraya göre
Broju parcele,Parsel numarasına (dativ) (lokativ)
Brokoli,Brokoli (sebze)
Brusnica,Kızılcık
Brutalno,Vahşice / Acımasızca
Brz,Hızlı (kadın)
Brza,Hızlı (kadın)
Brzina,Hız
Brzo,Hızlı / Çabuk (nötr)
Brzo se vraćamo,Yakında geri döneceğiz
Brzom,Hızlı (Dativ) (nötr) / Hızlıca (zarf) 
Brzu / Posni,Hızlı
Brže,Daha hızlı
Brži,Daha hızlı
Bubice,Böcekler
Bučan,Gürültülü / Sesli (erkek)
Bučna,Gürültülü / Sesli (kadın)
Bučno,Gürültülü / Sesli (nötr)
Bude,Olsun / Olması
Budem,Olayım (ben)
Budete,Bulunasınız
Budi / Bude,Olmak
Budi se,Uyanıyor
Budilnik,Çalar saat
Budim se,Uyanıyorum (ben)
Budite,Olun (siz)
Budite glasne,Yüksek sesle konuşmak
Budite hrabre,Cesur ol
Budite promjena,Değişiklik olsun
Buditi se,Uyanmak (fiil) (sürekli)
Budu,Olacaklar (gelecek)
Budu (II),Olsunlar / Olmaları (onlar)
Buduća,Gelecek / Olacak olan (kadın)
Buduće,Gelecek / Olacak olan (nötr)
Budući,Gelecek / Olacak olan (erkek)
Budućim,Gelecek olanlar
Budućnost,Gelecek / İstikbal
Budućnosti,Geleceğin (genitiv) / Gelecekte (lokativ) (kadın)
Buduću,Gelecek (akuzativ)
Budvanske,Budva'nın
Budvanske rivijere,Budva Rivierası’nın
Budvanskom,Budva'ya ait
Budvi,Budva'da
Budžet,Bütçe (erkek) (nominativ)
Budžeta,Bütçenin (genitiv)
Budžetu,Bütçede (lokativ)
Bujati,Büyümek / Gelişmek (fiil)
Buka,Gürültü
Buke,Gürültü (genitiv)
Buking / Bukinga,Rezervasyon
Bulevar,Bulvar (erkek)
Bulevara,Bulvarın (genitiv) / Bulvarı / Bulvara (akuzativ)
Bulevari,Bulvarlar
Bulevaru,Bulvara (genitiv) / Bulvarda (lokativ)
Bunarsku,Kuyu
Bundeva,Tatlı kabak
Burek,Börek
Burger,Hamburger
But,Uyluk
Catalanes,Katalanlar
Celosti,Bütünlük
Celzijusa,Santigrat / Celcius
Cena,Fiyat (Sırbistan)
Cenama,Fiyatlarla (instrumental) (Sırbistan)
Cene,Fiyatlar / Fiyatların (Sırbistan)
Ceni,Değerler
Cenom,Fiyatla (akuzativ) (Sırbistan)
Cent,Cent (para) (1 cent için)
Centa,Cent (para) (234 cent için)
Centar,Merkez
Centi,Cent (para) (5 ve üzeri için)
Centra,Merkezin / Merkezinin (erkek) (genitiv)
Centralna,Merkezi
Centru,Merkezde (lokativ)
Cenu,Fiyatı (akuzatib) (Sırbistan)
Cetinja,Cetinje'den
Cetinju,Çetinje'de
CG (Crne Gore),Karadağ (kısaltma)
Chamomile,Papatya
Cifre,Rakamlar
Cigla,Tuğla
Cijela,Tüm / Bütün / Tamamı (kadın) (sıfat)
Cijeli,Tüm / Bütün / Tamamı (erkek) (tekil (çoğul)
Cijelo,Tüm / Bütün / Tamamı (nötr)
Cijelog,Tüm / bütün (genitiv) (akuzativ) (erkek)
Cijeloj,Bütün / Tam (kadın) dativ) (lokativ)
Cijelu,Bütün / Tam (dişi)
Cijena,Fiyat
Cijena kvadrata od,Metrekare fiyatı
Cijenama,Fiyatlarla (instrumental) / Fiyatlara (dativ)
Cijene,Fiyatlar / Fiyatların (genitiv)
Cijeni,Takdirle karşılamak
Cijenimo,Takdir ediyoruz (biz)
Cijeniti,Takdir etmek / Değer vermek (fiil)
Cijenom,Fiyatla (instrumentl)
Cijenu,Fiyatı (akuzativ)
Ciklus,Dönem / Süreç / Aşama
Cilindar,Silindir
Cilj,Hedef / Amaç / Bitiş (erkek)
Ciljevima,Hedefler
Cilju,Amacıyla
Cinija,Tas
Cipela,Ayakkabı (Günlük veya Resmi)
Cipelama,Ayakkabılarla (kadın) (çoğul)
Cipele,Günlük (Klasik) Ayakkabılar (kadın)
Cistoca podgorica,Podgorica temizlik hizmetleri
Civilizacije,Uygarlık
Cjediljka,Süzgeç
Cjelokupan,Tüm / Tamamı (erkek) (bütün bir grubu kapsama
Cjenovnik,Fiyat listesi / Tarife
Cokoladni / Čokolada / Čokoladu,Çikolata
Concierge,Kapıcı
Cosmeticsu,Makyaj malzemeleri
Crkava,Kilisenin
Crn,Siyah (renk)
Crna,Siyah (renk)
Crna Gora,Karadağ (Ülke adı)
Crne,Siyah (renk) (kadın) (çoğul)
Crne Gore,Karadağ 'ın / Karadağ 'dan (genitiv)
Crni luk,Soğan / Kuru soğan
Crnogorac,Karadağlı (erkek)
Crnogorci,Karadağlılar (erkek)
Crnogorcima,Karadağlılar (erkek) (karma)
Crnogorka,Karadağlı (kadın)
Crnogorke,Karadağlılar (kadın)
Crnogorska,Karadağlı (kadın)
Crnogorske,Karadağ  (kadın) (ilgi hali)
Crnogorski,Karadağlı / Karadağ'a ait (erkek)
Crnogorsko,Karadağlı / Karadağ'a ait (nötr)
Crnogorsko,Karadağlı / Karadağ'a ait (nötr)
Crnogorskog,Karadağlı'nın / Karadağ'a ait bir şey
Crnogorskoj,Karadağlı'ya / Karadağ'da (kadın)
Crnogorskom,Karadağ'a / Karadağ'da (erkek ve nötr)
Crnogorskom jeziku,Karadağ dili
Crnoj Gori,Karadağ'a / Karadağ'da (kadın)
Crnom Gorom,Karadağ ile ilgili / Karadağ boyunca
Crnu,Siyah (renk) (kadın)
Crnu / Crnoj,Siyah
Crnu Goru,Karadağ 'ı (belirtme hali)
Crnu Goru na bolje,Karadağ daha iyiye doğru
Crnjeti,Siyahlaşmak / Kararmak (fiil)
Crtani,Çizgi
Crtani film,Çizgi film
Crtati,Çizmek (fiil)
Crtež,Çizim
Crteže,Çizimler (akuzativ)
Crtežima,Çizimlerle (instrumental)
Crven,Kırmızı (erkek)
Crvena,Kırmızı (kadın) (tekil) (çoğul) (nötr)
Crvene,Kırmızı (kadın) (çoğul)
Crveni,Kırmızı (erkek) (çoğul)
Crveni krst,Kızıl haç
Crvenkapa,Kırmızı Başlıklı Kız
Crveno,Kırmızı / Kızarmış (nötr)
Crveno vino,Kırmızı şarap
Crvenoj,Kırmızıya / Kırmızıda (kadın) (dtiv) (lokativ)
Crvenom,Kırmızıya / Kımızıda / Kırmızıyla (erkek) (nötr) (daitiv) (lokativ)
Crvenom krstu,Kızıl Haç
Crvenu,Kırmızı (kadın) (akuzativ)
Cufte,Köfteler
